YEAR,MONTH,DAY,EXCH
2019,12,4,1.1076
2019,12,5,1.1104
2019,12,6,1.1052
2019,12,9,1.1067
2019,12,10,1.109
2019,12,11,1.1092
2019,12,12,1.1115
2019,12,13,1.1128
2019,12,16,1.1139
2019,12,17,1.1148
2019,12,18,1.1113
2019,12,19,1.1128
2019,12,20,1.1076
2019,12,23,1.1091
2019,12,24,1.1084
2019,12,26,1.1102
2019,12,27,1.1174
2019,12,30,1.1217
2019,12,31,1.1227
2020,1,2,1.1166
2020,1,3,1.1173
2020,1,6,1.1187
2020,1,7,1.1138
2020,1,8,1.1117
2020,1,9,1.1106
2020,1,10,1.1119
2020,1,13,1.1138
2020,1,14,1.113
2020,1,15,1.116
2020,1,16,1.1131
2020,1,17,1.1093
2020,1,21,1.1096
2020,1,22,1.1085
2020,1,23,1.1041
2020,1,24,1.1026
2020,1,27,1.1019
2020,1,28,1.1008
2020,1,29,1.1004
2020,1,30,1.1032
2020,1,31,1.1082
2020,2,3,1.1062
2020,2,4,1.1043
2020,2,5,1.1006
2020,2,6,1.0979
2020,2,7,1.095
2020,2,10,1.0916
2020,2,11,1.0917
2020,2,12,1.0893
2020,2,13,1.0848
2020,2,14,1.0839
2020,2,18,1.0815
2020,2,19,1.0794
2020,2,20,1.0797
2020,2,21,1.0855
2020,2,24,1.0857
2020,2,25,1.0868
2020,2,26,1.0887
2020,2,27,1.0977
2020,2,28,1.1001
2020,3,2,1.1164
2020,3,3,1.1175
2020,3,4,1.113
2020,3,5,1.1202
2020,3,6,1.1319
2020,3,9,1.142
2020,3,10,1.1342
2020,3,11,1.128
2020,3,12,1.1081
2020,3,13,1.1066
2020,3,16,1.1139
2020,3,17,1.0971
2020,3,18,1.0833
2020,3,19,1.0699
2020,3,20,1.0682
2020,3,23,1.076
2020,3,24,1.0794
2020,3,25,1.0835
2020,3,26,1.1025
2020,3,27,1.1059
2020,3,30,1.1018
2020,3,31,1.1016
2020,4,1,1.0934
2020,4,2,1.0862
2020,4,3,1.0797
